A!SUBCLASS!RECORD_TAG!REFDES!COMP_PACKAGE!COMP_PART_NUMBER!SYM_NAME!SYM_X!SYM_Y!SYM_ROTATE!SYM_MIRROR!GRAPHIC_DATA_NAME!GRAPHIC_DATA_1!GRAPHIC_DATA_2!GRAPHIC_DATA_3!GRAPHIC_DATA_4!GRAPHIC_DATA_5!GRAPHIC_DATA_6!GRAPHIC_DATA_7!GRAPHIC_DATA_8!GRAPHIC_DATA_9!GRAPHIC_DATA_10!PACKAGE_HEIGHT_MIN!PACKAGE_HEIGHT_MAX!SYM_HAS_PIN_EDIT!SYM_DFA_DEV_CLASS!COMP_PACKAGE_HEIGHT_MIN!COMP_PACKAGE_HEIGHT_MAX!EMBEDDED_STATUS!BOM_IGNORE!SYM_ZONE_NAME!PLACEMENT_LAYER!
J!C:/Users/Prometheus/Downloads/Downloads/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.0/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.1.brd!Tue Mar 19 17:06:38 2024!-24000.00!-16212.60!24000.00!15787.40!0.01!mils!D:/2016/LE081/1107/BR14U_UMA_MB_A00_20161107-1.NET!47.679921 mil!10!UP TO DATE!
S!PLACE_BOUND_TOP!236793 1!!!!!!!!!RECTANGLE!10557.00!2977.00!10573.00!2993.00!1!!!!!!!0 MIL!!!!!!!!!
S!PLACE_BOUND_BOTTOM!236834 1 0!PL602!9A_Z80_1812_2P-NPM!!9A_Z80_1812_2P-NPM!1880.72!2228.60!0.000!YES!LINE!1923.72!2303.10!1923.72!2154.10!0.00!!!!!SHAPE!!59 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236834 2 0!PL602!9A_Z80_1812_2P-NPM!!9A_Z80_1812_2P-NPM!1880.72!2228.60!0.000!YES!LINE!1923.72!2154.10!1688.11!2154.10!0.00!!!!!SHAPE!!59 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236834 3 0!PL602!9A_Z80_1812_2P-NPM!!9A_Z80_1812_2P-NPM!1880.72!2228.60!0.000!YES!LINE!1688.11!2154.10!1688.11!2303.10!0.00!!!!!SHAPE!!59 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236834 4 0!PL602!9A_Z80_1812_2P-NPM!!9A_Z80_1812_2P-NPM!1880.72!2228.60!0.000!YES!LINE!1688.11!2303.10!1923.72!2303.10!0.00!!!!!SHAPE!!59 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236839 1 0!RI50!R_0402-NPM!!R_0402-NPM!7609.63!590.00!180.000!YES!LINE!7593.63!607.00!7661.63!607.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236839 2 0!RI50!R_0402-NPM!!R_0402-NPM!7609.63!590.00!180.000!YES!LINE!7661.63!607.00!7661.63!573.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236839 3 0!RI50!R_0402-NPM!!R_0402-NPM!7609.63!590.00!180.000!YES!LINE!7661.63!573.00!7593.63!573.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236839 4 0!RI50!R_0402-NPM!!R_0402-NPM!7609.63!590.00!180.000!YES!LINE!7593.63!573.00!7593.63!607.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236845 1 0!RI49!R_0402-NPM!!R_0402-NPM!7609.63!630.00!180.000!YES!LINE!7593.63!647.00!7661.63!647.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236845 2 0!RI49!R_0402-NPM!!R_0402-NPM!7609.63!630.00!180.000!YES!LINE!7661.63!647.00!7661.63!613.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
