A!CLASS!REFDES!PIN_NUMBER!PAD_STACK_NAME!START_LAYER_NAME!END_LAYER_NAME!NET_NAME!PIN_X!PIN_Y!VIA_X!VIA_Y!DRILL_HOLE_TYPE!SLOT_SIZE_MAJOR!SLOT_SIZE_MINOR!SLOT_X!SLOT_Y!SLOT_ROTATION!SLOT_PLATING!DRILL_FIGURE_CHAR!DRILL_FIGURE_SHAPE!DRILL_FIGURE_WIDTH!DRILL_FIGURE_HEIGHT!DRILL_FIGURE_ROTATION!GRAPHIC_DATA_NAME!GRAPHIC_DATA_1!GRAPHIC_DATA_2!GRAPHIC_DATA_3!GRAPHIC_DATA_4!PIN_NUMBER_SORT!DRILL_ARRAY_LOCATIONS!COMP_PACKAGE!DRILL_HOLE_POSTOL!DRILL_HOLE_NEGTOL!BACKDRILL_TOP_LAYER!BACKDRILL_BOTTOM_LAYER!BACKDRILL_TOP_FROM!BACKDRILL_BOTTOM_FROM!EMBEDDED_LAYER!EMBEDDED_STATUS!BACKDRILL_SIZE!DRILL_TOP_NAME!DRILL_BOTTOM_NAME!NET_SHORT!TEST_POINT!PROBE_FIGURE!
J!C:/Users/Prometheus/Downloads/Downloads/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.0/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.1.brd!Tue Mar 19 17:06:49 2024!-24000.00!-16212.60!24000.00!15787.40!0.01!mils!D:/2016/LE081/1107/BR14U_UMA_MB_A00_20161107-1.NET!47.679921 mil!10!UP TO DATE!
S!PIN!PL602!1!R71X134-NPM!BOTTOM!BOTTOM!CPU_B+!1880.72!2228.60!!!!!!!!!!!!!!!FIG_RECTANGLE!1880.72!2228.60!71.00!134.00! 00000001!!9A_Z80_1812_2P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!PL602!2!R71X134-NPM!BOTTOM!BOTTOM!+PWR_SRC!1731.11!2228.60!!!!!!!!!!!!!!!FIG_RECTANGLE!1731.11!2228.60!71.00!134.00! 00000002!!9A_Z80_1812_2P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI50!1!R20X22-NPM!BOTTOM!BOTTOM!USB20_N7!7609.63!590.00!!!!!!!!!!!!!!!FIG_RECTANGLE!7609.63!590.00!20.00!22.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI50!2!R20X22-NPM!BOTTOM!BOTTOM!USB20_N7_L!7645.63!590.00!!!!!!!!!!!!!!!FIG_RECTANGLE!7645.63!590.00!20.00!22.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI49!1!R20X22-NPM!BOTTOM!BOTTOM!USB20_P7!7609.63!630.00!!!!!!!!!!!!!!!FIG_RECTANGLE!7609.63!630.00!20.00!22.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI49!2!R20X22-NPM!BOTTOM!BOTTOM!USB20_P7_L!7645.63!630.00!!!!!!!!!!!!!!!FIG_RECTANGLE!7645.63!630.00!20.00!22.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI48!1!R20X22-NPM!TOP!TOP!USB20_N4!11220.00!1458.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11220.00!1458.00!22.00!20.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI48!2!R20X22-NPM!TOP!TOP!USB20_N4_L!11220.00!1422.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11220.00!1422.00!22.00!20.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI47!1!R20X22-NPM!TOP!TOP!USB20_P4!11260.00!1458.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11260.00!1458.00!22.00!20.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI47!2!R20X22-NPM!TOP!TOP!USB20_P4_L!11260.00!1422.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11260.00!1422.00!22.00!20.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI30!1!R20X22-NPM!TOP!TOP!USB3_PTX_C_DRX_N2!11427.50!1535.50!!!!!!!!!!!!!!!FIG_RECTANGLE!11427.50!1535.50!22.00!20.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI30!2!R20X22-NPM!TOP!TOP!USB3_PTX_L_DRX_N2!11427.50!1499.50!!!!!!!!!!!!!!!FIG_RECTANGLE!11427.50!1499.50!22.00!20.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI29!1!R20X22-NPM!TOP!TOP!USB3_PTX_C_DRX_P2!11462.50!1535.50!!!!!!!!!!!!!!!FIG_RECTANGLE!11462.50!1535.50!22.00!20.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI29!2!R20X22-NPM!TOP!TOP!USB3_PTX_L_DRX_P2!11462.50!1499.50!!!!!!!!!!!!!!!FIG_RECTANGLE!11462.50!1499.50!22.00!20.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI28!1!R20X22-NPM!TOP!TOP!USB3_PRX_DTX_N2!11300.00!1458.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11300.00!1458.00!22.00!20.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI28!2!R20X22-NPM!TOP!TOP!USB3_PRX_L_DTX_N2!11300.00!1422.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11300.00!1422.00!22.00!20.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI27!1!R20X22-NPM!TOP!TOP!USB3_PRX_DTX_P2!11340.00!1458.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11340.00!1458.00!22.00!20.00! 00000001!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!RI27!2!R20X22-NPM!TOP!TOP!USB3_PRX_L_DTX_P2!11340.00!1422.00!!!!!!!!!!!!!!!FIG_RECTANGLE!11340.00!1422.00!22.00!20.00! 00000002!!R_0402-NPM!!!!!!!!!0.00!!!!!!
S!PIN!PJP901!2!PAD43X118R-NPM!BOTTOM!BOTTOM!+CHARGER_SRC!189.00!379.66!!!!!!!!!!!!!!!FIG_RECTANGLE!189.00!364.95!118.12!29.44! 00000002!!JUMP_43X118-NPM!!!!!!!!!0.00!!!!!!
S!PIN!PJP901!1!PAD43X118L-NPM!BOTTOM!BOTTOM!+PWR_SRC_AC!189.00!336.35!!!!!!!!!!!!!!!FIG_RECTANGLE!189.00!351.07!118.12!29.44! 00000001!!JUMP_43X118-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!3!R20X12-NPM!TOP!TOP!HDMI_L_TX_N0!4110.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!4110.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!2!R20X12-NPM!TOP!TOP!HDMI_TX_N0!4110.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!4110.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!4!R20X12-NPM!TOP!TOP!HDMI_L_TX_P0!4089.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!4089.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!1!R20X12-NPM!TOP!TOP!HDMI_TX_P0!4089.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!4089.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!3!R20X12-NPM!TOP!TOP!HDMI_L_TX_N1!3860.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3860.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!2!R20X12-NPM!TOP!TOP!HDMI_TX_N1!3860.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3860.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!4!R20X12-NPM!TOP!TOP!HDMI_L_TX_P1!3839.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3839.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!1!R20X12-NPM!TOP!TOP!HDMI_TX_P1!3839.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3839.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!3!R20X12-NPM!TOP!TOP!HDMI_L_TX_N2!3720.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3720.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!2!R20X12-NPM!TOP!TOP!HDMI_TX_N2!3720.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3720.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!4!R20X12-NPM!TOP!TOP!HDMI_L_TX_P2!3699.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3699.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!1!R20X12-NPM!TOP!TOP!HDMI_TX_P2!3699.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3699.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!3!R20X12-NPM!TOP!TOP!HDMI_L_CLKN!4000.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!4000.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!2!R20X12-NPM!TOP!TOP!HDMI_CLKN!4000.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!4000.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!4!R20X12-NPM!TOP!TOP!HDMI_L_CLKP!3979.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3979.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!1!R20X12-NPM!TOP!TOP!HDMI_CLKP!3979.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3979.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!19!R39X79!BOTTOM!BOTTOM!GND!12209.96!2037.40!!!!!!!!!!!!!!!FIG_RECTANGLE!12209.96!2037.40!83.00!43.00! 00000019!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!3!O12X35!BOTTOM!BOTTOM!+3.3V_ALW!12330.04!2159.45!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2159.45!39.00!16.00! 00000003!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
