Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PC_8OUT_V0.PrjPcb|ReportField=ProjectFullPath~D:\Oleg\CLOUD\Проекты\Bykov\Компьютер\Altium_PC\PC_8OUT_V0.PrjPcb|ReportField=Title~Bill of Materials For Project [PC_8OUT_V0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~208|ReportField=ReportTime~15:28:38|ReportField=ReportDate~08.04.2018|ReportField=ReportDateTime~08.04.2018 15:28:38|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~08.04.2018|ReportField=CurrentTime~15:28:15|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Oleg\CLOUD\Проекты\Bykov\Компьютер\Altium_PC\RPI3 connector, PWR, GPIO.SchDoc|ReportField=DocumentName~RPI3 connector, PWR, GPIO.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~07.04.2018|ReportField=Organization~|ReportField=ProjectName~PC_8OUT_V0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PC_8OUT_V0.PrjPcb|ReportField=DataSourceFullPath~D:\Oleg\CLOUD\Проекты\Bykov\Компьютер\Altium_PC\PC_8OUT_V0.PrjPcb
1|BH-642 (KLS5-CR2032-01)|BAT_HOLD_1xCR2032|BAT1|BAT_HOLD_2032|BAT_HOLD_CR2032|1
2|KX-327LT|CRYSTAL  32.7680 kHz  QSMD 7.0x1.5x1.4mm|BQ1|KX-327LT|KX-327LT|1
3|NX3225HA-25MHZ|CRYSTAL 25MHZ, 3.5pF, 30PPM, 3.2x2.5mm|BQ2|3225|NX3225HA-25MHZ|1
4|GRM21BR61C106KE15|C0805, 10uF 10%, 16V, X5R|C1, C15, C16, C20, C26, C27, C28, C29, C30, C32, C33, C34, C46, C48, C49, C50, C56, C66|CAPC2012[0805]|GRM21BR61C106KE15|18
5|GRM155R71C104KA88|C0402, 100nF,  16V, X7R|C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C17, C18, C19, C21, C22, C55, C58, C59, C60, C61, C62, C63, C64, C65|C0402_IPC High Density|GRM155R71C104KA88|27
6|C0402, 33pF, 50V, C0G|C0402, 33pF, 50V, C0G|C23, C24, C44, C51|C0402_IPC High Density|C0402, 33pF, 50V, C0G|4
7|C0402, 6.8pF,  50V, C0G|C0402, 6.8pF,  50V, C0G|C25|C0402_IPC High Density|C0402, 6.8pF,  50V, C0G|1
8|C0402, 100pF,  50V, C0G|C0402, 100pF,  50V, C0G|C31, C47|C0402|C0402, 68pF,  50V, C0G|2
9|C1206C104K5RAC7800|C1206, 0.1uF 10%, 50V, X7R|C35, C40, C42, C43, C54, C57|1206|C1206C104K5RAC7800|6
10|CA050M0220REG-1010|Capacitor Aluminium 220uF 50V   SMD1010|C36, C37, C38, C39, C53|CAP SMD 1010|CA050M0220REG-1010|5
11|GRM155R71E682KA01|C0402, 6.8nF 5%,  25V, X7R|C41|C0402_IPC High Density|GRM155R71E682KA01|1
12|C0402, 1000pF,  50V, C0G|C0402, 1000pF,  50V, C0G|C45, C52|C0402|C0402, 1000pF,  50V, C0G|2
