Altium Designer Pick and Place Locations
C:\Tesla_SVN\09-000144-01 (PCBA,BATTERY MONITOR BOARD (BMB)+HW OVP)\Project Outputs\ASSY_AE\Pick Place\09-000144-01_AE(Pick and Place).txt

========================================================================================================================
File Design Information:

Date:       01/08/17
Time:       13:32
Revision:   79413
Variant:    No variations
Units used: mm

Designator Comment                  Layer       Footprint                           Center-X(mm) Center-Y(mm) Rotation Description                                                                  
R92        "RES 0603"               BottomLayer CAPC1608N                           89.4080      29.3370      90       Res,100K,0.1W,1%,0603                                                        
R93        "RES 0603"               BottomLayer CAPC1608N                           91.1860      29.3370      270      Res,300K,0.1W,1%,0603                                                        
C45        "Ceramic Chip Capacitor" BottomLayer CAPC1608N                           92.9640      29.3370      270      CAP,NP0,27pF,50V,5%,0603                                                     
F11        0.375A                   BottomLayer CR3216-1206                         192.6590     8.9850       270      "FUSE,1A,63VDC,SMT 1206"                                                     
F10        0.375A                   BottomLayer CR3216-1206                         185.0390     46.8818      90       "FUSE,1A,63VDC,SMT 1206"                                                     
F9         0.375A                   BottomLayer CR3216-1206                         197.7390     8.9850       270      "FUSE,1A,63VDC,SMT 1206"                                                     
F8         0.375A                   BottomLayer CR3216-1206                         197.7898     46.8818      90       "FUSE,1A,63VDC,SMT 1206"                                                     
F7         0.375A                   BottomLayer CR3216-1206                         183.0578     9.0590       270      "FUSE,1A,63VDC,SMT 1206"                                                     
F6         0.375A                   BottomLayer CR3216-1206                         170.1038     9.0590       270      "FUSE,1A,63VDC,SMT 1206"                                                     
F5         0.375A                   BottomLayer CR3216-1206                         170.1038     46.8818      90       "FUSE,1A,63VDC,SMT 1206"                                                     
F4         0.375A                   BottomLayer CR3216-1206                         178.1810     9.0590       270      "FUSE,1A,63VDC,SMT 1206"                                                     
F3         0.375A                   BottomLayer CR3216-1206                         178.2318     46.8818      90       "FUSE,1A,63VDC,SMT 1206"                                                     
F2         0.375A                   BottomLayer CR3216-1206                         187.8540     9.0590       270      "FUSE,1A,63VDC,SMT 1206"                                                     
F1         0.375A                   BottomLayer CR3216-1206                         193.2178     46.8818      90       "FUSE,1A,63VDC,SMT 1206"                                                     
D22        01-005374-00             BottomLayer SOT95P280-3N                        189.4782     46.8698      270      "Diode,Super Fast Rectifier,1A,100V,25ns,SMA"                                
D21        01-005374-00             BottomLayer SOT95P280-3N                        186.6958     37.8392      90       "Diode,Super Fast Rectifier,1A,100V,25ns,SMA"                                
D16        01-005374-00             BottomLayer SOT95P280-3N                        172.0792     15.7548      270      "Diode,Super Fast Rectifier,1A,100V,25ns,SMA"                                
D15        01-005374-00             BottomLayer SOT95P280-3N                        175.9008     15.7412      90       "Diode,Super Fast Rectifier,1A,100V,25ns,SMA"                                
C37        "Ceramic Chip Capacitor" BottomLayer CAPC3216N                           60.1218      41.8018      90       CAP,Y5V,4.7uF,16V,1206                                                       
C43        "Ceramic Chip Capacitor" BottomLayer CAPC3216N                           68.3260      36.0680      180      CAP,Y5V,4.7uF,16V,1206                                                       
C33        01-003916-00             BottomLayer CAPC1608N                           54.6100      45.2120      360      Cap,1000pF,50V,5%,NP0,SMT0603                                                
C34        01-003916-00             BottomLayer CAPC1608N                           54.6100      43.3070      360      Cap,1000pF,50V,5%,NP0,SMT0603                                                
R169       "RES 1206"               BottomLayer CR3216-1206                         215.1544     18.5161      180      Res,2K2,0.25W,1%,1206                                                        
R168       "RES 1206"               BottomLayer CR3216-1206                         215.1544     21.8181      180      Res,2K2,0.25W,1%,1206                                                        
R167       "RES 1206"               BottomLayer CR3216-1206                         215.1544     25.1201      180      Res,2K2,0.25W,1%,1206                                                        
R166       "RES 1206"               BottomLayer CR3216-1206                         215.1544     30.4541      180      Res,2K2,0.25W,1%,1206                                                        
R165       "RES 1206"               BottomLayer CR3216-1206                         215.1544     33.7561      180      Res,2K2,0.25W,1%,1206                                                        
R164       "RES 1206"               BottomLayer CR3216-1206                         215.1544     37.0581      180      Res,2K2,0.25W,1%,1206                                                        
R91        "RES 0603"               BottomLayer CAPC1608N                           66.2940      24.7650      180      Res,1K0,0.1W,1%,0603                                                         
R150       "RES 0603"               BottomLayer CAPC1608N                           187.8330     21.0820      90       Res,47K,0.1W,1%,0603                                                         
R139       "RES 0603"               BottomLayer CAPC1608N                           173.3550     36.4490      90       Res,43K2,0.1W,1%,0603                                                        
R141       "RES 0603"               BottomLayer CAPC1608N                           178.1810     20.4470      270      Res,36K5,0.1W,1%,0603                                                        
