RefDes,PartDecal,Pins,Layer,Orient.,X,Y,SMD
C1,CAPC1608N,2,Bottom,180,2681.102362,2027.559055,TRUE
C2,CAPC1608N,2,Bottom,0,2842.519685,2027.559055,TRUE
C3,CAPC3216N,2,Bottom,270,397.6377953,1738.188976,TRUE
C4,CAPC1608N,2,Bottom,180,622.0472441,1610.23622,TRUE
C5,CAPC1608N,2,Bottom,180,440,1540,TRUE
C6,CAPC1608N,2,Bottom,180,440,1470,TRUE
C7,CAPC1608N,2,Bottom,180,500,1325.866142,TRUE
C8,CAPC1608N,2,Bottom,180,500,1255,TRUE
C9,CAPC1608N,2,Bottom,270,2255,605,TRUE
C10,CAPC1608N,2,Top,270,748.0314961,2346.456693,TRUE
C11,CAPC1608N,2,Top,90,748.0314961,2165.354331,TRUE
C12,CAPC1608N,2,Top,270,1385.826772,2346.456693,TRUE
C13,CAPC1608N,2,Top,90,1385.826772,2165.354331,TRUE
C14,CAPC1608N,2,Top,270,2062.992126,2346.456693,TRUE
C15,CAPC1608N,2,Top,90,2062.992126,2165.354331,TRUE
C16,CAPC1608N,2,Top,180,2179,830,TRUE
C17,CAPC1608N,2,Bottom,180,2200.787402,1730.314961,TRUE
C18,CAPC1608N,2,Bottom,270,2137.795276,988.1889764,TRUE
C19,CAPC1608N,2,Bottom,270,2019.685039,988.1889764,TRUE
C20,CAPC1608N,2,Bottom,90,1820.866142,1557.086614,TRUE
C21,CAPC1608N,2,Bottom,180,1799.787402,635.7480315,TRUE
C22,CAPC1608N,2,Bottom,90,1606.299213,275.5905512,TRUE
C23,CAPC1608N,2,Bottom,90,1480.314961,275.5905512,TRUE
C24,CAPC1608N,2,Bottom,90,1543.307087,275.5905512,TRUE
C25,CAPC1608N,2,Bottom,90,1354.330709,275.5905512,TRUE
C26,CAPC1608N,2,Bottom,90,1291.338583,275.5905512,TRUE
C27,CAPC1608N,2,Bottom,90,1669.291339,275.5905512,TRUE
C28,CAPC1608N,2,Bottom,90,118.1102362,425.8110236,TRUE
C29,CAPC1608N,2,Bottom,90,181.1023622,425.8110236,TRUE
C30,CAPC1608N,2,Bottom,90,244.0944882,425.8110236,TRUE
C31,CAPC1608N,2,Bottom,90,307.0866142,425.8110236,TRUE
C32,CAPC1608N,2,Bottom,0,1798,584,TRUE
C33,CAPC1608N,2,Bottom,0,3155.511811,1500,TRUE
C34,CAPC1608N,2,Bottom,180,1964,168,TRUE
C35,CAPC1608N,2,Bottom,0,1876,50,TRUE
C36,CAPC1608N,2,Bottom,180,1488.188976,1005.905512,TRUE
